keyword,category,purpose,subcat,confidence,count,total,enabled,notes
家用-,家用,生活必须,日用品,100.00%,154,154,TRUE,
家用-美,家用,生活必须,日用品,100.00%,118,118,TRUE,
家用-美团,家用,生活必须,日用品,100.00%,118,118,TRUE,
餐饮-美,餐饮,生活必须,日常用餐,100.00%,71,71,TRUE,
餐饮-美团,餐饮,生活必须,日常用餐,100.00%,71,71,TRUE,
学习办公,学习办公,自我实现,学习,100.00%,65,65,TRUE,
学习办公-,学习办公,自我实现,学习,100.00%,65,65,TRUE,
学习办,学习办公,自我实现,学习,100.00%,65,65,TRUE,
其他-,其他,娱乐享受,其他,100.00%,47,47,TRUE,兜底规则-根据备注具体判断
购物-美,购物,娱乐享受,日常购物,100.00%,41,41,TRUE,
购物-美团,购物,娱乐享受,日常购物,100.00%,40,40,TRUE,
交通-高,交通,生活必须,打车,100.00%,38,38,TRUE,
交通-高德,交通,生活必须,打车,100.00%,38,38,TRUE,
餐饮-饿了,餐饮,生活必须,日常用餐,100.00%,26,26,TRUE,
餐饮-饿了么,餐饮,生活必须,日常用餐,100.00%,26,26,TRUE,
餐饮-饿,餐饮,生活必须,日常用餐,100.00%,26,26,TRUE,
交通-合肥,交通,生活必须,通勤,100.00%,25,25,TRUE,
交通-合,交通,生活必须,通勤,100.00%,25,25,TRUE,
交通-铁,交通,生活必须,通勤,100.00%,25,25,TRUE,
交通-铁路,交通,生活必须,通勤,100.00%,25,25,TRUE,
固定支出-你有本事偷能量,固定支出,生活必须,房租,100.00%,1,1,TRUE,手动添加-房租暗号
你有本事偷能量,固定支出,生活必须,房租,100.00%,1,1,TRUE,手动添加-房租暗号
固定支出-,固定支出,生活必须,其他固定支出,100.00%,23,23,TRUE,
固定支,固定支出,生活必须,其他固定支出,100.00%,23,23,TRUE,
固定支出,固定支出,生活必须,其他固定支出,100.00%,23,23,TRUE,
交通-哈,交通,生活必须,通勤,100.00%,21,21,TRUE,
交通-哈啰,交通,生活必须,通勤,100.00%,21,21,TRUE,
红包转账-,红包转账,人情社交,红包,100.00%,20,20,TRUE,
红包转账,红包转账,人情社交,红包,100.00%,20,20,TRUE,
红包转,红包转账,人情社交,红包,100.00%,20,20,TRUE,
理发美容,理发美容,自我实现,理发,100.00%,16,16,TRUE,
理发美容-,理发美容,自我实现,理发,100.00%,16,16,TRUE,
理发美,理发美容,自我实现,理发,100.00%,16,16,TRUE,
餐饮-邻几,餐饮,生活必须,日常用餐,100.00%,13,13,TRUE,
餐饮-邻,餐饮,生活必须,日常用餐,100.00%,13,13,TRUE,
交通-西安,交通,生活必须,通勤,100.00%,13,13,TRUE,
交通-西,交通,生活必须,通勤,100.00%,13,13,TRUE,
餐饮-福,餐饮,生活必须,日常用餐,100.00%,12,12,TRUE,
购物-尚客,购物,生活必须,日用品,100.00%,12,12,TRUE,
购物-尚,购物,生活必须,日用品,100.00%,12,12,TRUE,
交通-南京,交通,生活必须,公共交通,100.00%,11,11,TRUE,
交通-南,交通,生活必须,公共交通,100.00%,11,11,TRUE,
餐饮-福年来,餐饮,生活必须,日常用餐,100.00%,11,11,TRUE,
餐饮-福年,餐饮,生活必须,日常用餐,100.00%,11,11,TRUE,
购物-小,购物,娱乐享受,日常购物,100.00%,11,11,TRUE,
购物-汤雅,购物,生活必须,日用品,100.00%,10,10,TRUE,
购物-汤,购物,生活必须,日用品,100.00%,10,10,TRUE,
购物-小米,购物,娱乐享受,日常购物,100.00%,9,9,TRUE,
购物-t,购物,娱乐享受,日常购物,100.00%,9,9,TRUE,
其他-杭,其他,None,None,100.00%,9,9,TRUE,
其他-杭州,其他,None,None,100.00%,9,9,TRUE,
购物-上海,购物,娱乐享受,日常购物,100.00%,9,9,TRUE,
购物-上,购物,娱乐享受,日常购物,100.00%,9,9,TRUE,
其他-阿里,其他,None,None,100.00%,8,8,TRUE,
其他-阿,其他,None,None,100.00%,8,8,TRUE,
其他-阿里云,其他,None,None,100.00%,8,8,TRUE,
购物-tb,购物,娱乐享受,日常购物,100.00%,8,8,TRUE,
家用-企,家用,生活必须,日用品,100.00%,7,7,TRUE,
家用-企鹅,家用,生活必须,日用品,100.00%,7,7,TRUE,
其他-伟,其他,None,None,100.00%,6,6,TRUE,
购物-丰,购物,娱乐享受,日常购物,100.00%,6,6,TRUE,
餐饮-抖音,餐饮,生活必须,日常用餐,100.00%,5,5,TRUE,
餐饮-抖,餐饮,生活必须,日常用餐,100.00%,5,5,TRUE,
娱乐-S,娱乐,娱乐享受,休闲娱乐,100.00%,5,5,TRUE,
娱乐-St,娱乐,娱乐享受,休闲娱乐,100.00%,5,5,TRUE,
购物-联,购物,娱乐享受,日常购物,100.00%,5,5,TRUE,
娱乐-四三,娱乐,娱乐享受,休闲娱乐,100.00%,5,5,TRUE,
娱乐-四,娱乐,娱乐享受,休闲娱乐,100.00%,5,5,TRUE,
购物-丰巢,购物,娱乐享受,日常购物,100.00%,5,5,TRUE,
购物-杭,购物,娱乐享受,日常购物,100.00%,5,5,TRUE,
购物-杭州,购物,娱乐享受,日常购物,100.00%,5,5,TRUE,
家用-杭,家用,生活必须,日用品,100.00%,4,4,TRUE,
家用-杭州,家用,生活必须,日用品,100.00%,4,4,TRUE,
购物-C,购物,娱乐享受,日常购物,100.00%,4,4,TRUE,
购物-CS,购物,娱乐享受,日常购物,100.00%,4,4,TRUE,
购物-教,购物,生活必须,日用品,100.00%,4,4,TRUE,
购物-教育,购物,生活必须,日用品,100.00%,4,4,TRUE,
购物-联华,购物,娱乐享受,日常购物,100.00%,4,4,TRUE,
家用-exs,家用,生活必须,日用品,100.00%,4,4,TRUE,
家用-ex,家用,生活必须,日用品,100.00%,4,4,TRUE,
家用-e,家用,生活必须,日用品,100.00%,4,4,TRUE,
家用-丰巢,家用,生活必须,日用品,100.00%,4,4,TRUE,
家用-丰,家用,生活必须,日用品,100.00%,4,4,TRUE,
餐饮-16,餐饮,生活必须,日常用餐,100.00%,4,4,TRUE,
餐饮-1,餐饮,生活必须,日常用餐,100.00%,4,4,TRUE,
购物-拼多,购物,娱乐享受,网购,100.00%,4,4,TRUE,
购物-拼,购物,娱乐享受,网购,100.00%,4,4,TRUE,
购物-全,购物,娱乐享受,日常购物,100.00%,4,4,TRUE,
餐饮-功夫,餐饮,生活必须,日常用餐,100.00%,3,3,TRUE,
餐饮-功,餐饮,生活必须,日常用餐,100.00%,3,3,TRUE,
购物-抖,购物,娱乐享受,日常购物,100.00%,3,3,TRUE,
购物-抖音,购物,娱乐享受,日常购物,100.00%,3,3,TRUE,
购物-小米店,购物,娱乐享受,日常购物,100.00%,3,3,TRUE,
购物-阿里,购物,娱乐享受,日常购物,100.00%,3,3,TRUE,
购物-阿,购物,娱乐享受,日常购物,100.00%,3,3,TRUE,
其他-培,其他,None,None,100.00%,3,3,TRUE,
购物-大,购物,娱乐享受,日常购物,100.00%,3,3,TRUE,
餐饮-衢州,餐饮,生活必须,日常用餐,100.00%,3,3,TRUE,
餐饮-衢,餐饮,生活必须,日常用餐,100.00%,3,3,TRUE,
餐饮-商,餐饮,生活必须,日常用餐,100.00%,3,3,TRUE,
餐饮-老,餐饮,生活必须,日常用餐,100.00%,3,3,TRUE,
其他-??,其他,娱乐享受,其他,100.00%,3,3,TRUE,修正None值
毛绒盒子,学习办公,自我实现,Claude Token费用,100.00%,1,1,TRUE,手动添加
偷能量,固定支出,生活必须,房租,100.00%,1,1,TRUE,手动添加
の紾,家庭支出,家人关怀,给妈妈,100.00%,1,1,TRUE,手动添加
购物-,购物,娱乐享受,日常购物,90.00%,1,1,TRUE,兜底规则-购物类
餐饮-,餐饮,生活必须,日常用餐,90.00%,1,1,TRUE,兜底规则-餐饮类
交通-,交通,生活必须,其他交通,90.00%,1,1,TRUE,兜底规则-交通类
学习办公-毛绒盒子,学习办公,自我实现,Claude Token,100.00%,1,1,TRUE,手动添加-Claude费用
毛绒盒子,其他,自我实现,Claude Token,100.00%,1,1,TRUE,手动添加-Claude费用
家庭支出-の紾,家庭支出,家人关怀,给妈妈,100.00%,1,1,TRUE,手动添加-给妈妈
の紾,家庭支出,家人关怀,给妈妈,100.00%,1,1,TRUE,手动添加-给妈妈
